County,State,Cases,Level
Cook County,IL,7.7,Yellow
Boone County,IL,8.3,Yellow
Adams County,IL,8.5,Yellow
Ford County,IL,8.8,Yellow
Union County,IL,9.4,Yellow
Cass County,IL,10.6,Orange
St. Clair County,IL,11.9,Orange
Pulaski County,IL,13.4,Orange
Rock Island County,IL,13.5,Orange
Brown County,IN,0.0,Green
Franklin County,IN,0.0,Green
Martin County,IN,0.0,Green
Ohio County,IN,0.0,Green
Parke County,IN,0.0,Green
Sullivan County,IN,0.0,Green
Union County,IN,0.0,Green
Tipton County,IN,0.0,Green
Warren County,IN,0.0,Green
Statewide Unallocated,IN,0.0,Green
Clay County,IN,0.5,Green
Vermillion County,IN,0.9,Green
Bartholomew County,IN,0.9,Green
Greene County,IN,0.9,Green
Cass County,IN,1.1,Yellow
Delaware County,IN,1.1,Yellow
Miami County,IN,1.2,Yellow
Ripley County,IN,1.5,Yellow
DeKalb County,IN,1.6,Yellow
Vigo County,IN,1.7,Yellow
Randolph County,IN,1.7,Yellow
Grant County,IN,1.7,Yellow
Madison County,IN,1.8,Yellow
Fayette County,IN,1.9,Yellow
Wells County,IN,2.0,Yellow
Carroll County,IN,2.1,Yellow
Jay County,IN,2.1,Yellow
Orange County,IN,2.2,Yellow
Putnam County,IN,2.3,Yellow
Knox County,IN,2.3,Yellow
Blackford County,IN,2.4,Yellow
Adams County,IN,2.4,Yellow
Floyd County,IN,2.5,Yellow
Washington County,IN,2.5,Yellow
Harrison County,IN,2.5,Yellow
Wayne County,IN,2.6,Yellow
Fountain County,IN,2.6,Yellow
Morgan County,IN,2.6,Yellow
Rush County,IN,2.6,Yellow
Huntington County,IN,2.7,Yellow
Owen County,IN,2.7,Yellow
Wabash County,IN,2.8,Yellow
Fulton County,IN,2.9,Yellow
White County,IN,3.0,Yellow
Jennings County,IN,3.1,Yellow
Steuben County,IN,3.3,Yellow
Clark County,IN,3.3,Yellow
Benton County,IN,3.3,Yellow
Jasper County,IN,3.4,Yellow
Shelby County,IN,3.5,Yellow
Scott County,IN,3.6,Yellow
Hendricks County,IN,3.8,Yellow
Daviess County,IN,3.9,Yellow
Jefferson County,IN,4.0,Yellow
Switzerland County,IN,4.0,Yellow
Monroe County,IN,4.1,Yellow
Decatur County,IN,4.3,Yellow
Montgomery County,IN,4.5,Yellow
Johnson County,IN,4.6,Yellow
Howard County,IN,4.8,Yellow
Clinton County,IN,4.9,Yellow
Whitley County,IN,5.0,Yellow
Dubois County,IN,5.0,Yellow
Porter County,IN,5.0,Yellow
Newton County,IN,5.1,Yellow
Hamilton County,IN,5.1,Yellow
Warrick County,IN,5.4,Yellow
Crawford County,IN,5.4,Yellow
LaPorte County,IN,5.5,Yellow
Boone County,IN,5.5,Yellow
Posey County,IN,5.6,Yellow
Spencer County,IN,5.6,Yellow
Marion County,IN,5.7,Yellow
Hancock County,IN,5.8,Yellow
Pike County,IN,5.8,Yellow
Allen County,IN,6.2,Yellow
Perry County,IN,6.7,Yellow
St. Joseph County,IN,6.9,Yellow
Jackson County,IN,7.4,Yellow
LaGrange County,IN,7.6,Yellow
Tippecanoe County,IN,7.7,Yellow
Lawrence County,IN,7.9,Yellow
Dearborn County,IN,8.7,Yellow
Vanderburgh County,IN,9.6,Yellow
Pulaski County,IN,10.4,Orange
Henry County,IN,11.3,Orange
Lake County,IN,11.9,Orange
Kosciusko County,IN,12.0,Orange
Noble County,IN,12.6,Orange
Starke County,IN,16.2,Orange
Gibson County,IN,20.4,Orange
Elkhart County,IN,21.4,Orange
Marshall County,IN,24.4,Orange
Barber County,KS,0.0,Green
Allen County,KS,0.0,Green
Chautauqua County,KS,0.0,Green
Chase County,KS,0.0,Green
Brown County,KS,0.0,Green
Coffey County,KS,0.0,Green
Clark County,KS,0.0,Green
Cheyenne County,KS,0.0,Green
Decatur County,KS,0.0,Green
Comanche County,KS,0.0,Green
Elk County,KS,0.0,Green
Doniphan County,KS,0.0,Green
Dickinson County,KS,0.0,Green
Greeley County,KS,0.0,Green
Gray County,KS,0.0,Green
Graham County,KS,0.0,Green
Gove County,KS,0.0,Green
Greenwood County,KS,0.0,Green
Jefferson County,KS,0.0,Green
Hodgeman County,KS,0.0,Green
Kiowa County,KS,0.0,Green
Kingman County,KS,0.0,Green
Kearny County,KS,0.0,Green
Jewell County,KS,0.0,Green
Lane County,KS,0.0,Green
Marshall County,KS,0.0,Green
Logan County,KS,0.0,Green
Morton County,KS,0.0,Green
Morris County,KS,0.0,Green
Mitchell County,KS,0.0,Green
Meade County,KS,0.0,Green
Osborne County,KS,0.0,Green
Ness County,KS,0.0,Green
Phillips County,KS,0.0,Green
Pawnee County,KS,0.0,Green
Rice County,KS,0.0,Green
Rawlins County,KS,0.0,Green
Sherman County,KS,0.0,Green
Scott County,KS,0.0,Green
Stanton County,KS,0.0,Green
Stafford County,KS,0.0,Green
Smith County,KS,0.0,Green
Wallace County,KS,0.0,Green
Trego County,KS,0.0,Green
Thomas County,KS,0.0,Green
Wichita County,KS,0.0,Green
Washington County,KS,0.0,Green
Statewide Unallocated,KS,0.0,Green
Barton County,KS,0.6,Green
Butler County,KS,1.1,Yellow
Reno County,KS,1.2,Yellow
Marion County,KS,1.2,Yellow
Sumner County,KS,1.3,Yellow
Linn County,KS,1.5,Yellow
Wilson County,KS,1.7,Yellow
Clay County,KS,1.8,Yellow
Osage County,KS,1.8,Yellow
Anderson County,KS,1.8,Yellow
Cowley County,KS,2.0,Yellow
Ellis County,KS,2.0,Yellow
Wabaunsee County,KS,2.1,Yellow
Ellsworth County,KS,2.3,Yellow
Ottawa County,KS,2.5,Yellow
Stevens County,KS,2.6,Yellow
Norton County,KS,2.7,Yellow
Rooks County,KS,2.9,Yellow
Montgomery County,KS,3.1,Yellow
Harvey County,KS,3.3,Yellow
Lyon County,KS,3.4,Yellow
Haskell County,KS,3.6,Yellow
Franklin County,KS,3.9,Yellow
Russell County,KS,4.2,Yellow
Miami County,KS,4.2,Yellow
Finney County,KS,4.3,Yellow
Leavenworth County,KS,4.4,Yellow
Labette County,KS,4.4,Yellow
Rush County,KS,4.7,Yellow
Lincoln County,KS,4.8,Yellow
Cherokee County,KS,5.0,Yellow
Edwards County,KS,5.1,Yellow
Harper County,KS,5.3,Yellow
Jackson County,KS,5.4,Yellow
Nemaha County,KS,5.6,Yellow
Hamilton County,KS,5.6,Yellow
Shawnee County,KS,5.9,Yellow
Johnson County,KS,6.1,Yellow
Atchison County,KS,6.2,Yellow
Neosho County,KS,6.2,Yellow
Republic County,KS,6.2,Yellow
Crawford County,KS,6.3,Yellow
Saline County,KS,6.6,Yellow
Seward County,KS,6.7,Yellow
Sedgwick County,KS,6.9,Yellow
Douglas County,KS,7.8,Yellow
Riley County,KS,7.9,Yellow
McPherson County,KS,8.0,Yellow
Pottawatomie County,KS,8.8,Yellow
Woodson County,KS,9.1,Yellow
Pratt County,KS,9.4,Yellow
Ford County,KS,10.6,Orange
Bourbon County,KS,10.8,Orange
Sheridan County,KS,11.3,Orange
Cloud County,KS,13.0,Orange
Grant County,KS,14.0,Orange
Geary County,KS,14.9,Orange
Wyandotte County,KS,17.5,Orange
Ballard County,KY,0.0,Green
Bracken County,KY,0.0,Green
Carlisle County,KY,0.0,Green
Clinton County,KY,0.0,Green
Cumberland County,KY,0.0,Green
Elliott County,KY,0.0,Green
Estill County,KY,0.0,Green
Hickman County,KY,0.0,Green
Letcher County,KY,0.0,Green
Lee County,KY,0.0,Green
Larue County,KY,0.0,Green
Lyon County,KY,0.0,Green
Livingston County,KY,0.0,Green
Union County,KY,0.0,Green
Trimble County,KY,0.0,Green
Statewide Unallocated,KY,0.0,Green
Clark County,KY,0.4,Green
Johnson County,KY,0.6,Green
Rowan County,KY,0.6,Green
Breckinridge County,KY,0.7,Green
Mercer County,KY,0.7,Green
McCreary County,KY,0.8,Green
Bullitt County,KY,1.0,Yellow
Boyle County,KY,1.0,Green
Breathitt County,KY,1.1,Yellow
Grant County,KY,1.1,Yellow
Morgan County,KY,1.1,Yellow
Lewis County,KY,1.1,Yellow
Todd County,KY,1.2,Yellow
Magoffin County,KY,1.2,Yellow
Edmonson County,KY,1.2,Yellow
Owen County,KY,1.3,Yellow
Green County,KY,1.3,Yellow
Meade County,KY,1.5,Yellow
Spencer County,KY,1.5,Yellow
Grayson County,KY,1.6,Yellow
Crittenden County,KY,1.6,Yellow
Rockcastle County,KY,1.7,Yellow
Jessamine County,KY,1.8,Yellow
Boyd County,KY,1.8,Yellow
Lawrence County,KY,1.9,Yellow
Anderson County,KY,1.9,Yellow
Floyd County,KY,2.0,Yellow
Greenup County,KY,2.0,Yellow
Trigg County,KY,2.0,Yellow
Oldham County,KY,2.1,Yellow
Wayne County,KY,2.1,Yellow
Henderson County,KY,2.2,Yellow
Marion County,KY,2.2,Yellow
Caldwell County,KY,2.2,Yellow
Boone County,KY,2.2,Yellow
Menifee County,KY,2.2,Yellow
Webster County,KY,2.2,Yellow
Marshall County,KY,2.3,Yellow
Kenton County,KY,2.3,Yellow
Powell County,KY,2.3,Yellow
Hart County,KY,2.3,Yellow
Pulaski County,KY,2.4,Yellow
Madison County,KY,2.5,Yellow
Calloway County,KY,2.6,Yellow
Barren County,KY,2.6,Yellow
Bell County,KY,2.7,Yellow
Harlan County,KY,2.7,Yellow
Henry County,KY,2.7,Yellow
Metcalfe County,KY,2.8,Yellow
McCracken County,KY,2.8,Yellow
Whitley County,KY,2.8,Yellow
Taylor County,KY,2.8,Yellow
Perry County,KY,2.8,Yellow
Lincoln County,KY,2.9,Yellow
Pendleton County,KY,2.9,Yellow
Fleming County,KY,2.9,Yellow
Bourbon County,KY,2.9,Yellow
Leslie County,KY,2.9,Yellow
Ohio County,KY,3.0,Yellow
McLean County,KY,3.1,Yellow
Owsley County,KY,3.2,Yellow
Mason County,KY,3.3,Yellow
Hancock County,KY,3.3,Yellow
Campbell County,KY,3.4,Yellow
Daviess County,KY,3.4,Yellow
Washington County,KY,3.5,Yellow
Nelson County,KY,3.7,Yellow
Carter County,KY,3.7,Yellow
Woodford County,KY,3.7,Yellow
Jefferson County,KY,3.8,Yellow
Martin County,KY,3.8,Yellow
Simpson County,KY,3.8,Yellow
Knott County,KY,3.9,Yellow
Wolfe County,KY,4.0,Yellow
Allen County,KY,4.0,Yellow
Hardin County,KY,4.1,Yellow
Christian County,KY,4.1,Yellow
Scott County,KY,4.3,Yellow
Butler County,KY,4.4,Yellow
Franklin County,KY,4.5,Yellow
Harrison County,KY,4.5,Yellow
Montgomery County,KY,4.6,Yellow
Knox County,KY,4.6,Yellow
Hopkins County,KY,4.8,Yellow
Garrard County,KY,4.9,Yellow
Casey County,KY,5.3,Yellow
Russell County,KY,5.6,Yellow
Pike County,KY,5.7,Yellow
Bath County,KY,5.7,Yellow
Fayette County,KY,5.8,Yellow
Nicholas County,KY,5.9,Yellow
Gallatin County,KY,6.4,Yellow
Muhlenberg County,KY,6.5,Yellow
Monroe County,KY,6.7,Yellow
Carroll County,KY,6.7,Yellow
Robertson County,KY,6.8,Yellow
Fulton County,KY,7.2,Yellow
Logan County,KY,7.4,Yellow
Graves County,KY,7.7,Yellow
Shelby County,KY,7.9,Yellow
Laurel County,KY,9.2,Yellow
Warren County,KY,9.9,Yellow
Jackson County,KY,10.7,Orange
Clay County,KY,10.8,Orange
Adair County,KY,11.2,Orange
Statewide Unallocated,LA,0.0,Green
West Feliciana Parish,LA,4.6,Yellow
Tensas Parish,LA,6.6,Yellow
Red River Parish,LA,6.8,Yellow
Grant Parish,LA,7.7,Yellow
Concordia Parish,LA,8.2,Yellow
Morehouse Parish,LA,8.6,Yellow
East Feliciana Parish,LA,9.7,Yellow
Catahoula Parish,LA,10.5,Orange
Jackson Parish,LA,10.9,Orange
Lincoln Parish,LA,11.6,Orange
St. Bernard Parish,LA,11.8,Orange
Webster Parish,LA,11.9,Orange
La Salle Parish,LA,12.5,Orange
Sabine Parish,LA,12.6,Orange
Orleans Parish,LA,12.7,Orange
Claiborne Parish,LA,12.8,Orange
Plaquemines Parish,LA,12.9,Orange
Caldwell Parish,LA,13.0,Orange
Winn Parish,LA,13.4,Orange
Bienville Parish,LA,14.0,Orange
St. Charles Parish,LA,16.1,Orange
De Soto Parish,LA,17.2,Orange
Natchitoches Parish,LA,17.6,Orange
St. Tammany Parish,LA,17.9,Orange
St. John the Baptist Parish,LA,19.7,Orange
St. Helena Parish,LA,19.7,Orange
Rapides Parish,LA,19.8,Orange
Union Parish,LA,20.0,Orange
Bossier Parish,LA,20.5,Orange
Vernon Parish,LA,20.5,Orange
Ascension Parish,LA,20.9,Orange
Beauregard Parish,LA,21.3,Orange
Jefferson Parish,LA,22.5,Orange
Washington Parish,LA,22.6,Orange
Vermilion Parish,LA,23.3,Orange
Iberville Parish,LA,23.3,Orange
Evangeline Parish,LA,23.5,Orange
Assumption Parish,LA,24.8,Orange
Tangipahoa Parish,LA,25.4,Red
Richland Parish,LA,25.6,Red
Franklin Parish,LA,26.4,Red
Lafourche Parish,LA,27.4,Red
St. Landry Parish,LA,27.5,Red
Avoyelles Parish,LA,27.8,Red
Caddo Parish,LA,29.4,Red
East Baton Rouge Parish,LA,29.6,Red
Terrebonne Parish,LA,31.0,Red
Livingston Parish,LA,31.5,Red
West Baton Rouge Parish,LA,32.9,Red
Allen Parish,LA,33.4,Red
Pointe Coupee Parish,LA,36.2,Red
Cameron Parish,LA,36.9,Red
St. James Parish,LA,37.2,Red
Ouachita Parish,LA,37.3,Red
East Carroll Parish,LA,37.5,Red
St. Mary Parish,LA,38.5,Red
St. Martin Parish,LA,43.6,Red
West Carroll Parish,LA,44.8,Red
Acadia Parish,LA,47.0,Red
Lafayette Parish,LA,48.4,Red
Iberia Parish,LA,54.4,Red
Madison Parish,LA,60.0,Red
Jefferson Davis Parish,LA,60.6,Red
Calcasieu Parish,LA,66.6,Red
Statewide Unallocated,MA,0.0,Green
Berkshire County,MA,0.9,Green
Franklin County,MA,1.4,Yellow
Barnstable County,MA,1.7,Yellow
Plymouth County,MA,1.9,Yellow
Middlesex County,MA,2.1,Yellow
Hampshire County,MA,2.4,Yellow
Norfolk County,MA,2.5,Yellow
Dukes County,MA,2.5,Yellow
Worcester County,MA,3.0,Yellow
Bristol County,MA,3.1,Yellow
Hampden County,MA,3.4,Yellow
Suffolk County,MA,3.4,Yellow
Essex County,MA,3.6,Yellow
Nantucket County,MA,6.3,Yellow
Statewide Unallocated,MD,0.0,Green
Washington County,MD,0.2,Green
Somerset County,MD,1.1,Yellow
Allegany County,MD,1.2,Yellow
Garrett County,MD,1.5,Yellow
Calvert County,MD,1.7,Yellow
Cecil County,MD,2.9,Yellow
Caroline County,MD,3.0,Yellow
Kent County,MD,3.7,Yellow
Worcester County,MD,3.8,Yellow
Wicomico County,MD,3.9,Yellow
St. Mary's County,MD,4.3,Yellow
Carroll County,MD,4.5,Yellow
Frederick County,MD,4.5,Yellow
Harford County,MD,4.7,Yellow
Anne Arundel County,MD,5.1,Yellow
Charles County,MD,5.8,Yellow
Queen Anne's County,MD,6.0,Yellow
Howard County,MD,6.6,Yellow
Montgomery County,MD,7.1,Yellow
Dorchester County,MD,7.2,Yellow
Baltimore County,MD,7.6,Yellow
Talbot County,MD,7.7,Yellow
Prince George's County,MD,9.2,Yellow
Baltimore City,MD,11.6,Orange
Sagadahoc County,ME,0.0,Green
Statewide Unallocated,ME,0.0,Green
Kennebec County,ME,0.2,Green
Aroostook County,ME,0.4,Green
Knox County,ME,0.4,Green
Hancock County,ME,0.5,Green
Washington County,ME,0.5,Green
Franklin County,ME,0.5,Green
Somerset County,ME,0.8,Green
Lincoln County,ME,0.8,Green
Piscataquis County,ME,0.9,Green
Waldo County,ME,1.1,Yellow
Penobscot County,ME,1.2,Yellow
Oxford County,ME,1.7,Yellow
Androscoggin County,ME,2.6,Yellow
York County,ME,3.4,Yellow
Cumberland County,ME,6.2,Yellow
Arenac County,MI,0.0,Green
Cheboygan County,MI,0.0,Green
Gogebic County,MI,0.0,Green
Keweenaw County,MI,0.0,Green
Luce County,MI,0.0,Green
Montmorency County,MI,0.0,Green
Statewide Unallocated,MI,0.0,Green
Tuscola County,MI,0.3,Green
Huron County,MI,0.5,Green
Gladwin County,MI,0.6,Green
Otsego County,MI,0.6,Green
Gratiot County,MI,0.7,Green
Branch County,MI,1.0,Green
Mecosta County,MI,1.0,Green
Presque Isle County,MI,1.1,Yellow
Charlevoix County,MI,1.1,Yellow
Roscommon County,MI,1.2,Yellow
Mackinac County,MI,1.3,Yellow
Iron County,MI,1.3,Yellow
Alcona County,MI,1.4,Yellow
Midland County,MI,1.4,Yellow
Alger County,MI,1.6,Yellow
Dickinson County,MI,1.7,Yellow
Baraga County,MI,1.7,Yellow
Clare County,MI,1.8,Yellow
Marquette County,MI,1.9,Yellow
Hillsdale County,MI,1.9,Yellow
Shiawassee County,MI,1.9,Yellow
Van Buren County,MI,1.9,Yellow
Crawford County,MI,2.0,Yellow
Sanilac County,MI,2.1,Yellow
Livingston County,MI,2.1,Yellow
Ionia County,MI,2.2,Yellow
Delta County,MI,2.4,Yellow
Benzie County,MI,2.4,Yellow
Alpena County,MI,2.5,Yellow
Kalamazoo County,MI,2.5,Yellow
Bay County,MI,2.5,Yellow
Ontonagon County,MI,2.5,Yellow
Lapeer County,MI,2.6,Yellow
Jackson County,MI,2.6,Yellow
Isabella County,MI,2.7,Yellow
Monroe County,MI,2.8,Yellow
Eaton County,MI,2.9,Yellow
Grand Traverse County,MI,3.1,Yellow
Chippewa County,MI,3.1,Yellow
Antrim County,MI,3.1,Yellow
Houghton County,MI,3.2,Yellow
Allegan County,MI,3.3,Yellow
Iosco County,MI,3.4,Yellow
St. Clair County,MI,3.4,Yellow
Emmet County,MI,3.4,Yellow
Calhoun County,MI,3.5,Yellow
Schoolcraft County,MI,3.5,Yellow
Washtenaw County,MI,3.5,Yellow
Oakland County,MI,3.6,Yellow
Menominee County,MI,3.8,Yellow
Macomb County,MI,4.0,Yellow
Lenawee County,MI,4.1,Yellow
Ogemaw County,MI,4.1,Yellow
Barry County,MI,4.2,Yellow
Muskegon County,MI,4.2,Yellow
Genesee County,MI,4.4,Yellow
Saginaw County,MI,4.5,Yellow
Wayne County,MI,4.6,Yellow
Missaukee County,MI,4.7,Yellow
Osceola County,MI,4.9,Yellow
Ingham County,MI,4.9,Yellow
Montcalm County,MI,4.9,Yellow
Newaygo County,MI,5.0,Yellow
Manistee County,MI,5.2,Yellow
Berrien County,MI,5.3,Yellow
Kalkaska County,MI,5.5,Yellow
Ottawa County,MI,5.7,Yellow
Clinton County,MI,5.9,Yellow
Lake County,MI,6.0,Yellow
Leelanau County,MI,6.6,Yellow
Cass County,MI,7.7,Yellow
Mason County,MI,7.8,Yellow
Oscoda County,MI,8.7,Yellow
Kent County,MI,9.1,Yellow
Wexford County,MI,9.8,Yellow
St. Joseph County,MI,14.1,Orange
Oceana County,MI,44.3,Red
Big Stone County,MN,0.0,Green
Clearwater County,MN,0.0,Green
Cook County,MN,0.0,Green
Itasca County,MN,0.0,Green
Kittson County,MN,0.0,Green
Lake of the Woods County,MN,0.0,Green
Lake County,MN,0.0,Green
Lac Qui Parle County,MN,0.0,Green
Marshall County,MN,0.0,Green
Pope County,MN,0.0,Green
Red Lake County,MN,0.0,Green
Wadena County,MN,0.0,Green
Wilkin County,MN,0.0,Green
Statewide Unallocated,MN,0.0,Green
Hubbard County,MN,0.7,Green
Becker County,MN,0.8,Green
Polk County,MN,0.9,Green
Morrison County,MN,0.9,Green
Kanabec County,MN,0.9,Green
Crow Wing County,MN,0.9,Green
Beltrami County,MN,0.9,Green
Pennington County,MN,1.0,Yellow
Mille Lacs County,MN,1.1,Yellow
Otter Tail County,MN,1.2,Yellow
Cass County,MN,1.4,Yellow
Chisago County,MN,1.5,Yellow
Swift County,MN,1.5,Yellow
Jackson County,MN,1.5,Yellow
Stevens County,MN,1.5,Yellow
St. Louis County,MN,1.6,Yellow
Brown County,MN,1.7,Yellow
Aitkin County,MN,1.8,Yellow
Pine County,MN,1.9,Yellow
Wabasha County,MN,2.0,Yellow
Norman County,MN,2.2,Yellow
Douglas County,MN,2.2,Yellow
Todd County,MN,2.3,Yellow
Benton County,MN,2.4,Yellow
Carlton County,MN,2.4,Yellow
Meeker County,MN,2.5,Yellow
Kandiyohi County,MN,2.6,Yellow
Mahnomen County,MN,2.6,Yellow
Rock County,MN,3.1,Yellow
Houston County,MN,3.1,Yellow
Sherburne County,MN,3.1,Yellow
Fillmore County,MN,3.4,Yellow
Winona County,MN,3.4,Yellow
Koochiching County,MN,3.5,Yellow
Redwood County,MN,3.8,Yellow
Wright County,MN,4.0,Yellow
Goodhue County,MN,4.0,Yellow
Isanti County,MN,4.2,Yellow
Yellow Medicine County,MN,4.4,Yellow
Traverse County,MN,4.4,Yellow
McLeod County,MN,4.8,Yellow
Dodge County,MN,4.8,Yellow
Washington County,MN,5.3,Yellow
Freeborn County,MN,5.7,Yellow
Carver County,MN,5.8,Yellow
Anoka County,MN,5.9,Yellow
Chippewa County,MN,6.1,Yellow
Ramsey County,MN,6.4,Yellow
Cottonwood County,MN,6.4,Yellow
Dakota County,MN,6.6,Yellow
Clay County,MN,6.7,Yellow
Steele County,MN,7.4,Yellow
Scott County,MN,7.5,Yellow
Lincoln County,MN,7.6,Yellow
Faribault County,MN,8.4,Yellow
Hennepin County,MN,8.7,Yellow
Olmsted County,MN,9.4,Yellow
Roseau County,MN,9.4,Yellow
Waseca County,MN,10.0,Yellow
Lyon County,MN,10.1,Orange
Martin County,MN,10.2,Orange
Rice County,MN,10.5,Orange
Sibley County,MN,10.6,Orange
Renville County,MN,10.8,Orange
Le Sueur County,MN,11.4,Orange
Grant County,MN,12.0,Orange
Nobles County,MN,12.5,Orange
Stearns County,MN,14.3,Orange
Mower County,MN,14.6,Orange
Nicollet County,MN,15.8,Orange
Blue Earth County,MN,21.5,Orange
Murray County,MN,24.4,Orange
Watonwan County,MN,36.7,Red
Pipestone County,MN,37.6,Red
Bates County,MO,0.0,Green
Chariton County,MO,0.0,Green
Carter County,MO,0.0,Green
Clark County,MO,0.0,Green
Dade County,MO,0.0,Green
Iron County,MO,0.0,Green
Howard County,MO,0.0,Green
Holt County,MO,0.0,Green
Hickory County,MO,0.0,Green
Knox County,MO,0.0,Green
Monroe County,MO,0.0,Green
Mercer County,MO,0.0,Green
Pike County,MO,0.0,Green
Reynolds County,MO,0.0,Green
Randolph County,MO,0.0,Green
Scotland County,MO,0.0,Green
Schuyler County,MO,0.0,Green
St. Clair County,MO,0.0,Green
Worth County,MO,0.0,Green
Statewide Unallocated,MO,0.0,Green
Lincoln County,MO,0.5,Green
Audrain County,MO,0.6,Green
Henry County,MO,0.7,Green
Dent County,MO,0.9,Green
Macon County,MO,0.9,Green
Polk County,MO,0.9,Green
Pemiscot County,MO,0.9,Green
Gasconade County,MO,1.0,Green
Wayne County,MO,1.1,Yellow
Christian County,MO,1.1,Yellow
Ray County,MO,1.2,Yellow
Saline County,MO,1.3,Yellow
Oregon County,MO,1.4,Yellow
Ralls County,MO,1.4,Yellow
Lewis County,MO,1.5,Yellow
Benton County,MO,1.5,Yellow
Ozark County,MO,1.6,Yellow
Daviess County,MO,1.7,Yellow
Texas County,MO,1.7,Yellow
Adair County,MO,1.7,Yellow
Dallas County,MO,1.7,Yellow
Franklin County,MO,1.8,Yellow
Cedar County,MO,2.0,Yellow
Osage County,MO,2.1,Yellow
Cole County,MO,2.2,Yellow
Ripley County,MO,2.2,Yellow
Pulaski County,MO,2.2,Yellow
Gentry County,MO,2.2,Yellow
Platte County,MO,2.2,Yellow
Washington County,MO,2.3,Yellow
Bollinger County,MO,2.4,Yellow
Ste. Genevieve County,MO,2.4,Yellow
Shelby County,MO,2.4,Yellow
Lafayette County,MO,2.6,Yellow
Grundy County,MO,2.9,Yellow
Putnam County,MO,3.0,Yellow
St. Francois County,MO,3.0,Yellow
Greene County,MO,3.1,Yellow
Camden County,MO,3.1,Yellow
Howell County,MO,3.2,Yellow
Warren County,MO,3.2,Yellow
Maries County,MO,3.3,Yellow
Douglas County,MO,3.3,Yellow
Mississippi County,MO,3.3,Yellow
DeKalb County,MO,3.4,Yellow
Madison County,MO,3.5,Yellow
Jefferson County,MO,3.6,Yellow
Stone County,MO,3.6,Yellow
Crawford County,MO,3.6,Yellow
Linn County,MO,3.6,Yellow
Nodaway County,MO,3.9,Yellow
Miller County,MO,3.9,Yellow
Stoddard County,MO,3.9,Yellow
St. Charles County,MO,4.0,Yellow
Cass County,MO,4.2,Yellow
Clinton County,MO,4.2,Yellow
Callaway County,MO,4.2,Yellow
Morgan County,MO,4.2,Yellow
Livingston County,MO,4.7,Yellow
Andrew County,MO,4.8,Yellow
Cooper County,MO,4.8,Yellow
Clay County,MO,4.9,Yellow
Montgomery County,MO,4.9,Yellow
Marion County,MO,5.0,Yellow
New Madrid County,MO,5.0,Yellow
Webster County,MO,5.4,Yellow
Atchison County,MO,5.6,Yellow
Lawrence County,MO,5.6,Yellow
Laclede County,MO,6.0,Yellow
Pettis County,MO,6.1,Yellow
Caldwell County,MO,6.3,Yellow
Harrison County,MO,6.8,Yellow
Moniteau County,MO,7.1,Yellow
Boone County,MO,7.2,Yellow
Barton County,MO,7.3,Yellow
Scott County,MO,7.5,Yellow
Buchanan County,MO,7.5,Yellow
Vernon County,MO,7.6,Yellow
St. Louis County,MO,7.8,Yellow
Phelps County,MO,8.0,Yellow
Carroll County,MO,8.2,Yellow
Dunklin County,MO,8.8,Yellow
Taney County,MO,9.2,Yellow
Wright County,MO,9.4,Yellow
City of St. Louis,MO,10.3,Orange
Barry County,MO,10.8,Orange
Butler County,MO,11.1,Orange
Cape Girardeau County,MO,12.5,Orange
Johnson County,MO,13.2,Orange
Jackson County (including other portions of Kansas City),MO,13.4,Orange
Sullivan County,MO,16.4,Orange
Perry County,MO,20.9,Orange
Shannon County,MO,21.0,Orange
Newton County,MO,29.2,Red
Jasper County,MO,36.1,Red
McDonald County,MO,71.3,Red
Statewide Unallocated,MS,0.0,Green
Hancock County,MS,3.6,Yellow
Pearl River County,MS,4.6,Yellow
Choctaw County,MS,5.2,Yellow
Alcorn County,MS,6.2,Yellow
Webster County,MS,7.4,Yellow
Newton County,MS,7.5,Yellow
Lauderdale County,MS,7.7,Yellow
Wilkinson County,MS,8.3,Yellow
Tippah County,MS,9.1,Yellow
Prentiss County,MS,9.7,Yellow
Clarke County,MS,10.1,Orange
Attala County,MS,11.0,Orange
Clay County,MS,11.1,Orange
Kemper County,MS,11.7,Orange
Perry County,MS,11.9,Orange
Itawamba County,MS,12.2,Orange
Lowndes County,MS,12.7,Orange
Amite County,MS,12.8,Orange
Jefferson Davis County,MS,12.8,Orange
Stone County,MS,13.2,Orange
George County,MS,13.4,Orange
Smith County,MS,13.5,Orange
Jackson County,MS,14.6,Orange
Tishomingo County,MS,14.7,Orange
Rankin County,MS,14.8,Orange
Coahoma County,MS,14.9,Orange
Lee County,MS,15.9,Orange
Lincoln County,MS,15.9,Orange
Lamar County,MS,16.7,Orange
Leflore County,MS,16.7,Orange
Forrest County,MS,17.5,Orange
Lafayette County,MS,18.0,Orange
Harrison County,MS,18.5,Orange
Marshall County,MS,19.0,Orange
Benton County,MS,19.0,Orange
Calhoun County,MS,19.9,Orange
Jones County,MS,20.3,Orange
Franklin County,MS,20.4,Orange
Madison County,MS,20.8,Orange
Oktibbeha County,MS,21.6,Orange
Union County,MS,22.8,Orange
Scott County,MS,22.9,Orange
Greene County,MS,23.1,Orange
Jasper County,MS,24.4,Orange
Winston County,MS,24.7,Orange
Tate County,MS,24.7,Orange
Monroe County,MS,24.7,Orange
Yalobusha County,MS,26.0,Red
Tunica County,MS,26.7,Red
Neshoba County,MS,27.0,Red
