County,State,Cases,Level
Gila County,AZ,22.7,Orange
La Paz County,AZ,23.7,Orange
Mohave County,AZ,25.6,Red
Cochise County,AZ,26.1,Red
Apache County,AZ,27.0,Red
Pima County,AZ,28.6,Red
Pinal County,AZ,32.1,Red
Coconino County,AZ,34.4,Red
Navajo County,AZ,44.6,Red
Maricopa County,AZ,55.2,Red
Santa Cruz County,AZ,86.9,Red
Yuma County,AZ,103.6,Red
Alpine County,CA,0.0,Green
Modoc County,CA,0.0,Green
Plumas County,CA,0.0,Green
Sierra County,CA,0.0,Green
Trinity County,CA,0.0,Green
Statewide Unallocated,CA,0.0,Green
Grand Princess Cruise Ship,CA,0.0,Green
Siskiyou County,CA,1.3,Yellow
Mendocino County,CA,1.5,Yellow
Humboldt County,CA,1.6,Yellow
Lassen County,CA,1.9,Yellow
Nevada County,CA,3.0,Yellow
Inyo County,CA,3.2,Yellow
Mariposa County,CA,3.3,Yellow
Amador County,CA,3.6,Yellow
Shasta County,CA,3.9,Yellow
Mono County,CA,4.0,Yellow
Del Norte County,CA,4.1,Yellow
Butte County,CA,4.1,Yellow
San Francisco County,CA,4.3,Yellow
El Dorado County,CA,5.0,Yellow
Tuolumne County,CA,5.5,Yellow
Santa Cruz County,CA,5.6,Yellow
Tehama County,CA,5.7,Yellow
Calaveras County,CA,6.5,Yellow
Monterey County,CA,6.6,Yellow
Sonoma County,CA,7.7,Yellow
Lake County,CA,8.0,Yellow
Sacramento County,CA,8.2,Yellow
Santa Clara County,CA,8.2,Yellow
San Mateo County,CA,8.4,Yellow
Placer County,CA,9.0,Yellow
San Luis Obispo County,CA,9.7,Yellow
Alameda County,CA,10.1,Orange
Contra Costa County,CA,10.7,Orange
Napa County,CA,11.0,Orange
Solano County,CA,11.4,Orange
Yuba County,CA,11.4,Orange
Kern County,CA,12.5,Orange
Sutter County,CA,13.6,Orange
Los Angeles County,CA,13.9,Orange
Stanislaus County,CA,14.1,Orange
Yolo County,CA,14.2,Orange
San Diego County,CA,14.5,Orange
Madera County,CA,14.8,Orange
San Benito County,CA,15.2,Orange
Ventura County,CA,15.3,Orange
Santa Barbara County,CA,17.6,Orange
Glenn County,CA,17.6,Orange
Orange County,CA,19.1,Orange
Riverside County,CA,19.3,Orange
San Bernardino County,CA,22.4,Orange
Merced County,CA,23.0,Orange
Fresno County,CA,23.3,Orange
San Joaquin County,CA,25.9,Red
Tulare County,CA,28.3,Red
Kings County,CA,29.5,Red
Colusa County,CA,35.1,Red
Imperial County,CA,78.7,Red
Marin County,CA,82.2,Red
Chaffee County,CO,0.0,Green
Cheyenne County,CO,0.0,Green
Custer County,CO,0.0,Green
Dolores County,CO,0.0,Green
Huerfano County,CO,0.0,Green
Hinsdale County,CO,0.0,Green
Kiowa County,CO,0.0,Green
Lincoln County,CO,0.0,Green
Park County,CO,0.0,Green
Otero County,CO,0.0,Green
Phillips County,CO,0.0,Green
Sedgwick County,CO,0.0,Green
Saguache County,CO,0.0,Green
Statewide Unallocated,CO,0.0,Green
Elbert County,CO,0.5,Green
Delta County,CO,0.9,Green
Teller County,CO,1.1,Yellow
Fremont County,CO,1.2,Yellow
Montrose County,CO,1.3,Yellow
Morgan County,CO,1.5,Yellow
Montezuma County,CO,1.6,Yellow
Grand County,CO,1.8,Yellow
Logan County,CO,1.9,Yellow
Pueblo County,CO,2.0,Yellow
Archuleta County,CO,2.0,Yellow
Las Animas County,CO,2.0,Yellow
Gilpin County,CO,2.3,Yellow
Rio Blanco County,CO,2.3,Yellow
Crowley County,CO,2.4,Yellow
Gunnison County,CO,2.5,Yellow
Bent County,CO,2.6,Yellow
Mesa County,CO,2.7,Yellow
Routt County,CO,2.8,Yellow
Yuma County,CO,2.9,Yellow
Douglas County,CO,3.0,Yellow
Moffat County,CO,3.2,Yellow
Jefferson County,CO,3.2,Yellow
Boulder County,CO,3.3,Yellow
Larimer County,CO,3.4,Yellow
Lake County,CO,3.5,Yellow
Conejos County,CO,3.5,Yellow
Weld County,CO,3.7,Yellow
Broomfield County,CO,3.9,Yellow
Baca County,CO,4.0,Yellow
Kit Carson County,CO,4.0,Yellow
Arapahoe County,CO,4.3,Yellow
Clear Creek County,CO,4.4,Yellow
Eagle County,CO,4.9,Yellow
San Miguel County,CO,5.2,Yellow
Summit County,CO,5.5,Yellow
El Paso County,CO,5.6,Yellow
La Plata County,CO,5.6,Yellow
Ouray County,CO,5.8,Yellow
Washington County,CO,5.8,Yellow
Adams County,CO,5.9,Yellow
Denver County,CO,6.6,Yellow
Costilla County,CO,7.4,Yellow
Rio Grande County,CO,8.9,Yellow
Pitkin County,CO,9.6,Yellow
Jackson County,CO,10.3,Orange
Garfield County,CO,10.9,Orange
Alamosa County,CO,11.4,Orange
Prowers County,CO,11.7,Orange
San Juan County,CO,19.6,Orange
Mineral County,CO,74.3,Red
Statewide Unallocated,CT,0.0,Green
Tolland County,CT,0.6,Green
Litchfield County,CT,1.0,Green
Windham County,CT,1.3,Yellow
Middlesex County,CT,1.4,Yellow
New Haven County,CT,1.8,Yellow
New London County,CT,1.8,Yellow
Fairfield County,CT,1.9,Yellow
Hartford County,CT,2.3,Yellow
Washington,DC,4.7,Yellow
Statewide Unallocated,DE,0.0,Green
Kent County,DE,6.6,Yellow
New Castle County,DE,12.1,Orange
Sussex County,DE,18.0,Orange
Statewide Unallocated,FL,0.0,Green
Washington County,FL,6.2,Yellow
Bradford County,FL,6.6,Yellow
Citrus County,FL,9.6,Yellow
Sumter County,FL,10.0,Orange
Lafayette County,FL,10.2,Orange
Franklin County,FL,10.6,Orange
Highlands County,FL,10.9,Orange
Dixie County,FL,11.0,Orange
Flagler County,FL,11.2,Orange
Marion County,FL,11.6,Orange
Jefferson County,FL,12.0,Orange
Levy County,FL,13.4,Orange
Gilchrist County,FL,13.8,Orange
Wakulla County,FL,14.0,Orange
Hernando County,FL,14.4,Orange
Jackson County,FL,14.5,Orange
Charlotte County,FL,15.7,Orange
Taylor County,FL,16.6,Orange
Columbia County,FL,18.3,Orange
Glades County,FL,18.6,Orange
Volusia County,FL,19.4,Orange
Walton County,FL,20.6,Orange
Okaloosa County,FL,20.7,Orange
Brevard County,FL,21.1,Orange
Clay County,FL,21.6,Orange
Calhoun County,FL,22.3,Orange
Union County,FL,22.5,Orange
Baker County,FL,23.0,Orange
St. Lucie County,FL,23.1,Orange
Nassau County,FL,23.2,Orange
Alachua County,FL,24.1,Orange
Indian River County,FL,24.7,Orange
Sarasota County,FL,25.0,Orange
Pasco County,FL,25.2,Red
Lake County,FL,25.4,Red
St. Johns County,FL,26.3,Red
Okeechobee County,FL,27.1,Red
Holmes County,FL,27.7,Red
Monroe County,FL,28.5,Red
Seminole County,FL,29.5,Red
Gadsden County,FL,29.7,Red
Santa Rosa County,FL,30.9,Red
Bay County,FL,32.0,Red
Palm Beach County,FL,32.9,Red
Gulf County,FL,33.5,Red
Polk County,FL,33.5,Red
Collier County,FL,34.6,Red
Manatee County,FL,34.7,Red
Martin County,FL,36.4,Red
Pinellas County,FL,36.8,Red
Liberty County,FL,39.3,Red
Leon County,FL,41.2,Red
Putnam County,FL,42.6,Red
Lee County,FL,42.8,Red
Hillsborough County,FL,42.9,Red
Osceola County,FL,43.1,Red
Orange County,FL,44.7,Red
Madison County,FL,46.3,Red
Broward County,FL,48.4,Red
Hardee County,FL,50.4,Red
Escambia County,FL,51.6,Red
Duval County,FL,53.1,Red
Hendry County,FL,55.1,Red
Suwannee County,FL,58.2,Red
Hamilton County,FL,58.4,Red
DeSoto County,FL,61.3,Red
Miami-Dade County,FL,69.9,Red
Clay County,GA,0.0,Green
Taliaferro County,GA,0.0,Green
Statewide Unallocated,GA,0.0,Green
Seminole County,GA,1.8,Yellow
Montgomery County,GA,3.1,Yellow
Lumpkin County,GA,4.3,Yellow
Catoosa County,GA,4.4,Yellow
Baker County,GA,4.7,Yellow
Pickens County,GA,5.3,Yellow
Schley County,GA,5.4,Yellow
Greene County,GA,5.5,Yellow
White County,GA,5.6,Yellow
Union County,GA,5.8,Yellow
Walker County,GA,5.9,Yellow
Chattooga County,GA,6.3,Yellow
Pulaski County,GA,6.4,Yellow
Macon County,GA,6.6,Yellow
Gilmer County,GA,6.8,Yellow
Fannin County,GA,7.1,Yellow
Echols County,GA,7.1,Yellow
Lee County,GA,8.1,Yellow
Haralson County,GA,8.2,Yellow
Wilcox County,GA,8.3,Yellow
Randolph County,GA,8.4,Yellow
Dade County,GA,8.9,Yellow
Burke County,GA,8.9,Yellow
Turner County,GA,8.9,Yellow
Screven County,GA,9.2,Yellow
Forsyth County,GA,9.4,Yellow
Oglethorpe County,GA,9.4,Yellow
Polk County,GA,9.7,Yellow
Mitchell County,GA,9.8,Yellow
Paulding County,GA,10.2,Orange
Liberty County,GA,10.2,Orange
Decatur County,GA,10.3,Orange
Banks County,GA,10.4,Orange
Dawson County,GA,10.9,Orange
Fayette County,GA,11.1,Orange
Jasper County,GA,11.1,Orange
Elbert County,GA,11.2,Orange
Wilkinson County,GA,11.2,Orange
Pike County,GA,11.3,Orange
Peach County,GA,11.4,Orange
Calhoun County,GA,11.5,Orange
Sumter County,GA,11.6,Orange
Cherokee County,GA,11.6,Orange
Terrell County,GA,11.7,Orange
Barrow County,GA,11.8,Orange
Twiggs County,GA,12.3,Orange
Miller County,GA,12.5,Orange
Morgan County,GA,12.6,Orange
Coweta County,GA,12.6,Orange
Floyd County,GA,12.8,Orange
Walton County,GA,13.0,Orange
Rabun County,GA,13.3,Orange
Oconee County,GA,13.5,Orange
Bartow County,GA,13.5,Orange
Crawford County,GA,13.8,Orange
Lamar County,GA,14.2,Orange
Towns County,GA,14.2,Orange
Glascock County,GA,14.4,Orange
Treutlen County,GA,14.5,Orange
Long County,GA,14.6,Orange
Dodge County,GA,14.6,Orange
Evans County,GA,14.7,Orange
Madison County,GA,15.3,Orange
Telfair County,GA,15.3,Orange
Crisp County,GA,15.3,Orange
Hart County,GA,15.3,Orange
Houston County,GA,15.3,Orange
Marion County,GA,15.4,Orange
Jackson County,GA,15.5,Orange
Dooly County,GA,16.0,Orange
Berrien County,GA,16.2,Orange
Effingham County,GA,16.2,Orange
Upson County,GA,16.3,Orange
Webster County,GA,16.4,Orange
Wheeler County,GA,16.4,Orange
Bleckley County,GA,16.6,Orange
Hancock County,GA,16.9,Orange
Tattnall County,GA,16.9,Orange
Butts County,GA,17.2,Orange
Habersham County,GA,17.3,Orange
Taylor County,GA,17.8,Orange
Dougherty County,GA,17.9,Orange
Spalding County,GA,18.0,Orange
Bryan County,GA,18.0,Orange
Rockdale County,GA,18.2,Orange
Worth County,GA,18.3,Orange
Franklin County,GA,18.4,Orange
Newton County,GA,18.5,Orange
Columbia County,GA,18.6,Orange
Quitman County,GA,18.6,Orange
Henry County,GA,18.7,Orange
Heard County,GA,19.2,Orange
Clinch County,GA,19.4,Orange
Brantley County,GA,19.4,Orange
Hall County,GA,20.2,Orange
Jones County,GA,20.4,Orange
Carroll County,GA,20.6,Orange
Laurens County,GA,20.7,Orange
Gordon County,GA,20.9,Orange
Early County,GA,21.0,Orange
Camden County,GA,21.2,Orange
Murray County,GA,21.4,Orange
Cobb County,GA,21.7,Orange
Warren County,GA,21.8,Orange
Douglas County,GA,22.0,Orange
Johnson County,GA,22.2,Orange
Toombs County,GA,22.4,Orange
Wayne County,GA,22.4,Orange
Clayton County,GA,22.6,Orange
Charlton County,GA,23.5,Orange
Jeff Davis County,GA,23.6,Orange
McDuffie County,GA,24.1,Orange
Monroe County,GA,24.3,Orange
Ben Hill County,GA,24.8,Orange
Clarke County,GA,25.3,Red
Grady County,GA,25.5,Red
Thomas County,GA,25.7,Red
Emanuel County,GA,25.9,Red
Meriwether County,GA,26.3,Red
Lincoln County,GA,27.1,Red
Stephens County,GA,27.6,Red
DeKalb County,GA,27.6,Red
Fulton County,GA,27.7,Red
Pierce County,GA,27.9,Red
Appling County,GA,28.0,Red
Baldwin County,GA,28.0,Red
Harris County,GA,28.4,Red
Coffee County,GA,28.4,Red
Putnam County,GA,28.4,Red
Richmond County,GA,29.4,Red
Gwinnett County,GA,29.9,Red
Talbot County,GA,30.0,Red
Irwin County,GA,30.3,Red
Lanier County,GA,31.5,Red
Washington County,GA,31.6,Red
Chattahoochee County,GA,32.7,Red
Wilkes County,GA,33.6,Red
Lowndes County,GA,34.3,Red
McIntosh County,GA,35.8,Red
Brooks County,GA,36.0,Red
Chatham County,GA,36.3,Red
Bulloch County,GA,38.6,Red
Cook County,GA,38.9,Red
Candler County,GA,39.7,Red
Jefferson County,GA,42.8,Red
Whitfield County,GA,43.7,Red
Atkinson County,GA,43.7,Red
Jenkins County,GA,44.5,Red
Muscogee County,GA,44.6,Red
Bibb County,GA,45.3,Red
Ware County,GA,46.0,Red
Tift County,GA,47.8,Red
Troup County,GA,55.8,Red
Colquitt County,GA,60.5,Red
Bacon County,GA,69.1,Red
Glynn County,GA,108.4,Red
Stewart County,GA,155.3,Red
Kalawao County,HI,0.0,Green
Statewide Unallocated,HI,0.0,Green
Hawaii County,HI,0.4,Green
Maui County,HI,0.5,Green
Kauai County,HI,0.6,Green
Honolulu County,HI,1.6,Yellow
Audubon County,IA,-2.6,Green
Adams County,IA,0.0,Green
Appanoose County,IA,0.0,Green
Fremont County,IA,0.0,Green
Montgomery County,IA,0.0,Green
Monroe County,IA,0.0,Green
Page County,IA,0.0,Green
Poweshiek County,IA,0.0,Green
